cycle, observation, reward, action, explored, explore_rate, total reward, average reward
2859, 0, 0, 0, 0, 0.00751402, 5261, 1.84015
2860, 3, 1, 1, 0, 0.00751327, 5262, 1.83986
2861, 3, 0, 0, 0, 0.00751252, 5262, 1.83922
2862, 4, 1, 0, 0, 0.00751177, 5263, 1.83892
2863, 3, 3, 1, 0, 0.00751102, 5266, 1.83933
2864, 0, 0, 0, 0, 0.00751027, 5266, 1.83869
2865, 4, 1, 0, 0, 0.00750951, 5267, 1.83839
2866, 3, 3, 0, 0, 0.00750876, 5270, 1.8388
2867, 3, 1, 0, 0, 0.00750801, 5271, 1.83851
2868, 4, 1, 0, 0, 0.00750726, 5272, 1.83821
2869, 3, 3, 1, 0, 0.00750651, 5275, 1.83862
2870, 0, 0, 0, 0, 0.00750576, 5275, 1.83798
2871, 4, 1, 0, 0, 0.00750501, 5276, 1.83769
2872, 0, 3, 1, 0, 0.00750426, 5279, 1.83809
2873, 4, 3, 0, 0, 0.00750351, 5282, 1.8385
2874, 3, 3, 0, 0, 0.00750276, 5285, 1.8389
2875, 0, 1, 0, 0, 0.00750201, 5286, 1.83861
2876, 4, 1, 0, 0, 0.00750126, 5287, 1.83832
2877, 4, 3, 0, 0, 0.00750051, 5290, 1.83872
2878, 0, 3, 1, 0, 0.00749976, 5293, 1.83912
2879, 4, 3, 0, 0, 0.00749901, 5296, 1.83953
2880, 1, 3, 0, 0, 0.00749826, 5299, 1.83993
2881, 0, 1, 0, 0, 0.00749751, 5300, 1.83964
2882, 2, 1, 0, 0, 0.00749676, 5301, 1.83935
2883, 1, 1, 0, 0, 0.00749601, 5302, 1.83906
2884, 4, 1, 0, 0, 0.00749526, 5303, 1.83877
2885, 2, 3, 0, 0, 0.00749451, 5306, 1.83917
2886, 4, 3, 0, 0, 0.00749376, 5309, 1.83957
2887, 2, 3, 0, 0, 0.00749301, 5312, 1.83997
2888, 2, 3, 0, 0, 0.00749226, 5315, 1.84037
2889, 4, 1, 0, 0, 0.00749151, 5316, 1.84008
2890, 4, 3, 0, 0, 0.00749076, 5319, 1.84048
2891, 1, 3, 0, 0, 0.00749001, 5322, 1.84089
2892, 2, 1, 0, 0, 0.00748926, 5323, 1.84059
2893, 2, 3, 0, 0, 0.00748852, 5326, 1.841
2894, 0, 3, 0, 0, 0.00748777, 5329, 1.8414
2895, 2, 1, 0, 0, 0.00748702, 5330, 1.84111
2896, 0, 1, 0, 0, 0.00748627, 5331, 1.84081
2897, 1, 1, 0, 0, 0.00748552, 5332, 1.84052
2898, 4, 1, 0, 0, 0.00748477, 5333, 1.84023
