cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1590, 0, 0, 0, 0, 1.15964e-08, 1551, 0.975472
1591, 0, 1, 0, 0, 1.14805e-08, 1552, 0.975487
1592, 2, 0, 0, 0, 1.13657e-08, 1552, 0.974874
1593, 2, 0, 1, 0, 1.1252e-08, 1552, 0.974262
1594, 1, 1, 1, 0, 1.11395e-08, 1553, 0.974279
1595, 2, 2, 0, 0, 1.10281e-08, 1555, 0.974922
1596, 1, 2, 2, 0, 1.09178e-08, 1557, 0.975564
1597, 2, 1, 0, 0, 1.08086e-08, 1558, 0.975579
1598, 1, 2, 1, 0, 1.07005e-08, 1560, 0.97622
1599, 2, 2, 0, 0, 1.05935e-08, 1562, 0.976861
1600, 0, 1, 1, 0, 1.04876e-08, 1563, 0.976875
1601, 0, 0, 0, 0, 1.03827e-08, 1563, 0.976265
1602, 0, 1, 0, 0, 1.02789e-08, 1564, 0.97628
1603, 0, 1, 1, 0, 1.01761e-08, 1565, 0.976294
1604, 1, 1, 2, 0, 1.00743e-08, 1566, 0.976309
1605, 2, 1, 1, 0, 9.9736e-09, 1567, 0.976324
1606, 1, 1, 0, 0, 9.87387e-09, 1568, 0.976339
1607, 2, 0, 1, 0, 9.77513e-09, 1568, 0.975731
1608, 2, 2, 0, 0, 9.67738e-09, 1570, 0.976368
1609, 2, 0, 1, 0, 9.5806e-09, 1570, 0.975761
1610, 1, 1, 0, 0, 9.4848e-09, 1571, 0.975776
1611, 0, 1, 1, 0, 9.38995e-09, 1572, 0.975791
1612, 2, 2, 0, 0, 9.29605e-09, 1574, 0.976427
1613, 0, 1, 0, 0, 9.20309e-09, 1575, 0.976441
1614, 1, 2, 1, 0, 9.11106e-09, 1577, 0.977076
1615, 1, 1, 1, 0, 9.01995e-09, 1578, 0.97709
1616, 1, 1, 2, 0, 8.92975e-09, 1579, 0.977104
1617, 1, 0, 1, 0, 8.84045e-09, 1579, 0.9765
1618, 0, 0, 0, 0, 8.75205e-09, 1579, 0.975896
1619, 0, 1, 1, 0, 8.66453e-09, 1580, 0.975911
1620, 2, 2, 0, 0, 8.57788e-09, 1582, 0.976543
1621, 2, 0, 0, 0, 8.4921e-09, 1582, 0.975941
1622, 1, 2, 1, 0, 8.40718e-09, 1584, 0.976572
1623, 1, 1, 1, 0, 8.32311e-09, 1585, 0.976587
1624, 0, 0, 0, 0, 8.23988e-09, 1585, 0.975985
1625, 0, 1, 1, 0, 8.15748e-09, 1586, 0.976
1626, 1, 1, 1, 0, 8.07591e-09, 1587, 0.976015
1627, 1, 1, 1, 0, 7.99515e-09, 1588, 0.97603
1628, 1, 1, 0, 0, 7.91519e-09, 1589, 0.976044
1629, 2, 0, 1, 0, 7.83604e-09, 1589, 0.975445
1630, 0, 0, 1, 0, 7.75768e-09, 1589, 0.974847
1631, 0, 0, 0, 0, 7.68011e-09, 1589, 0.974249
1632, 0, 1, 1, 0, 7.6033e-09, 1590, 0.974265
1633, 0, 0, 0, 0, 7.52727e-09, 1590, 0.973668
1634, 0, 1, 1, 0, 7.452e-09, 1591, 0.973684
1635, 2, 2, 0, 0, 7.37748e-09, 1593, 0.974312
1636, 2, 0, 0, 0, 7.3037e-09, 1593, 0.973716
1637, 1, 2, 1, 0, 7.23067e-09, 1595, 0.974343
1638, 1, 1, 0, 0, 7.15836e-09, 1596, 0.974359
1639, 1, 2, 1, 0, 7.08678e-09, 1598, 0.974985
1640, 2, 2, 0, 0, 7.01591e-09, 1600, 0.97561
1641, 2, 0, 1, 0, 6.94575e-09, 1600, 0.975015
1642, 1, 1, 0, 0, 6.87629e-09, 1601, 0.97503
1643, 0, 1, 1, 0, 6.80753e-09, 1602, 0.975046
1644, 2, 2, 0, 0, 6.73945e-09, 1604, 0.975669
1645, 0, 1, 1, 0, 6.67206e-09, 1605, 0.975684
